,Unnamed: 0,source_id,has_epoch_photometry,has_epoch_rv,has_epoch_rv.1,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,ra,dec,abp_gspphot,ag_esphs,ag_gspphot,age_flame,alphafe_gspspec,arp_gspphot,b,bp_g,bp_rp,cafe_gspspec,cefe_gspspec,classlabel_espels,crfe_gspspec,distance_gspphot,ebpminrp_esphs,ebpminrp_gspphot,ecl_lat,ecl_lon,evolstage_flame,feiim_gspspec,fem_gspspec,g_rp,gravredshift_flame,l,logg_esphs,logg_gspphot,logg_gspspec,lum_flame,mass_flame,mg_gspphot,mgfe_gspspec,mh_gspphot,mh_gspspec,ndfe_gspspec,nfe_gspspec,nife_gspspec,parallax,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pm,pmdec,pmra,pseudocolour,radial_velocity,radius_flame,radius_gspphot,sfe_gspspec,sife_gspspec,spectraltype_esphs,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,tife_gspspec,vsini_esphs,zrfe_gspspec,SpT2,SpT2_dereddened,Star_Type,evolstage_type
1908116,77117,2197790535529239808,False,False,False,True,True,False,True,True,330.31517505737,55.02923696848106,4.4099,,3.2097,,,2.6678,-0.1242261562641152,1.7448711,2.9916897,,,,,2917.5786,,1.7421,59.85217683369461,7.497658049274818,552.0,,,1.2468185,0.063535795,100.1299217180828,,1.8983,1.5,350.52655,4.0029783,-1.7835,,0.0341,0.14,,,,0.3483551904384491,15.466986,13.722115,12.475296,4.3573112,-3.914352371030017,-1.9141592168229056,,-36.663033,30.552982,35.2062,,,CSTAR,,,4540.9624,4250.0,,,,M4V,K3V,red_giants,(490-860) base of the red giant brach (RGB)       
1765329,3632,2197839120201112576,False,False,False,True,True,False,True,False,330.1377959719677,55.07916114165838,7.3288,,5.5756,,,4.193,-0.0231465109616006,1.6177292,2.856533,,,,,2385.7622,,3.1359,59.95834086751648,7.419275077832146,272.0,,,1.2388039,0.6562118,100.0789463628073,,3.877,,1148.1537,5.2404714,-1.3475,,0.0668,,,,,0.2085347751241849,17.798803,16.181074,14.94227,3.0180311,-2.344927642992188,-1.8999541068577035,,,5.008946,4.1723,,,CSTAR,,,15021.786,,,,,M3.5V,B5V,subgiants,(100-300) zero age main sequence                  
1776560,14863,2197951339106947584,False,False,False,False,True,False,True,True,331.7726865951336,55.76605897641605,,,,,,,-0.0222972893296039,1.8953924,3.1804905,,,,,,,,59.81047637213219,9.70115975763312,0.0,,,1.2850981,,101.23332238682406,,,,,,,,,,,,,0.0878452449217595,16.565338,14.669946,13.384848,2.7178986,-1.5269174042495377,-2.248443087437788,,-89.93842,,,,,CSTAR,,,,,,,,M4.5V,O3V,null,NA                                                
1764763,3066,2197831835936166656,False,False,False,False,True,False,True,True,329.6473119809495,54.893409311555786,,,,,,,-0.0001094629689931,2.0073547,3.3176165,,,,,,,,60.017144146712695,6.755452245167258,0.0,,,1.3102617,,99.74253449423225,,,,,,,,,,,,,0.1991038932617337,16.55087,14.543516,13.233254,0.62188166,0.4599503486344448,-0.41854805767705,,-61.13639,,,,,CSTAR,,,,,,,,M4.5V,O3V,null,NA                                                
1765406,3709,2197840185352905856,False,False,False,False,True,False,True,False,329.9333090383932,55.02550122828802,,,,,,,0.0049901291415311,1.7338867,2.984129,,,,,,,,60.00012049435947,7.175668606537681,0.0,,,1.2502422,,99.95321448153656,,,,,,,,,,,,,0.2259090289705939,18.038706,16.30482,15.054577,3.928658,-2.6919540446781607,-2.8614223845962767,,,,,,,CSTAR,,,,,,,,M4V,O3V,null,NA                                                
1764904,3207,2197833347764637952,False,False,False,False,True,False,True,False,329.64241330637435,54.95654963350333,6.7193,,4.7332,0.21663284,,4.0539,0.0516674301411829,2.1235847,3.5592365,,,,,1812.9075,,2.6653,60.06493983440217,6.838264092015001,398.0,,,1.4356518,0.25206435,99.77878057347372,,2.5072,,538.3486,3.6533196,1.2148,,-0.0914,,,,,0.1884864163103669,19.451263,17.327679,15.892027,3.2950754,-1.956014605937393,-2.6517028920634416,,,11.522707,9.1346,,,CSTAR,,,4503.648,,,,,M5V,G7V,red_clump,(360-420) main sequence turn-off                  
1820551,58854,2198469346517454080,False,False,False,True,True,False,True,False,334.4319114185814,56.884525138674775,8.0731,,6.0782,,,4.6319,0.0580077412761627,1.8843622,3.1862383,,,,,2698.7437,,3.4411,59.56980490896348,13.337150717934408,326.0,,,1.3018761,0.50399864,103.08205221967484,,3.4273,,2791.0688,6.405545,-2.8124,,0.2106,,,,,0.1482563027895107,17.377865,15.493503,14.191627,2.648836,-1.4287725959032065,-2.2304574832695736,,-99.26637,7.808699,8.0929,,,CSTAR,,,15023.452,,,,,M4.5V,B6V,red_giants,(300-360) first minimum of Teff for massive stars 
1809915,48218,2198346025109172480,False,False,False,True,True,False,True,True,332.8031769793126,56.27763140349291,3.46,,2.5558,,,2.0829,0.0614855259340618,1.4160566,2.5799751,,,,,4221.7183,,1.3781,59.77279349322891,11.230330161006153,668.0,,,1.1639185,0.06625596,101.99905380925044,,1.8403,,348.33997,4.1008797,-2.1592,,-0.1098,,,,,0.285321096023077,14.882668,13.466611,12.302692,4.444352,-3.846096273152611,-2.227062630157972,,-111.52418,29.035648,39.5495,,,CSTAR,,,4653.9365,,,,,M3V,K2V,red_giants,(490-860) base of the red giant brach (RGB)       
1777952,16255,2197964601966431488,False,False,False,False,True,False,True,True,332.0639802998923,56.059956147513205,,,,,,,0.1212346329601324,2.0319967,3.3654652,,,,,,,,59.90657136714229,10.342760289233624,0.0,,,1.3334684,,101.53733923181616,,,,,,,,,,,,,0.0937121414500612,17.005867,14.97387,13.640402,2.1725607,-1.1553590969417198,-1.839881738025632,,-135.25871,,,,,CSTAR,,,,,,,,M5V,O3V,null,NA                                                
1812094,50397,2198371966715231104,False,False,False,True,True,False,True,False,333.86831951707313,56.777170601257176,4.8681,,3.693,0.727181,,2.8077,0.1404359952837304,1.2464209,2.3883638,,,,,2382.8354,,2.0612,59.71241535404733,12.756022169107885,293.0,,,1.141943,0.30741352,102.76612694592808,,3.3888,,47.393764,2.304795,0.4126,,-0.5319,,,,,0.212687081200883,17.195312,15.948892,14.806949,4.057101,-2.609490223903577,-3.1065461449220684,,,4.0158687,4.6336,,,CSTAR,,,7209.2905,,,,,M2.5V,A9V,red_giants,(100-300) zero age main sequence                  
1820876,59179,2198472816851319808,False,False,False,False,True,False,True,True,334.5317071603399,57.02693758734261,5.3851,,3.9004,,,3.2477,0.1466383454386095,1.9899673,3.2795105,,,,,7352.343,,2.137,59.631574162480895,13.61259506474438,0.0,,,1.2895432,,103.2060973891154,,0.3075,1.5,,,-8.1167,,-0.2124,-0.33,,,,0.2397560950239403,12.030326,10.040359,8.750815,3.6066055,-2.7109006939444718,-2.378785644351047,,-48.852264,,517.3798,,,CSTAR,,,4990.0796,4250.0,,,,M4.5V,K2V,red_giants,NA                                                
1812403,50706,2198375475715324928,False,False,False,False,True,False,True,True,333.4035277266124,56.64691519705424,5.1513,,3.7318,,,3.0344,0.1763325779603948,1.8023491,3.0629473,,,,,5061.577,,2.1169,59.80088634063542,12.215146623483198,454.0,,,1.2605982,0.060474463,102.48195467569448,,1.6083,1.5,1819.0284,6.352655,-3.3668,,-2.1646,-0.51,,,,0.1827288649736969,15.653492,13.851143,12.590545,3.4699683,-2.534387084065032,-2.370139551127221,,-82.51692,37.745262,53.7085,,,CSTAR,,,5154.956,4250.0,,,,M4V,G9V,red_giants,(420-490) central hydrogen mass fraction = 0.0    
1812250,50553,2198373860807357184,False,False,False,True,True,False,True,False,333.1491190442162,56.55069890066871,7.2129,,5.3829,0.68048346,,4.1727,0.1765075559022606,1.699297,3.0418682,,,,,1526.2216,,3.0403,59.83177620437821,11.882817565452577,255.0,,,1.3425713,0.49636313,102.312036509705,,3.9317,,34.373924,2.1920228,1.0018,,-0.1938,,,,,0.1379082344486781,19.014906,17.315609,15.973038,2.2310276,-1.049545706737228,-1.9687401838526155,,,2.7995281,2.5555,,,CSTAR,,,8456.173,,,,,M4V,A0V,turnoff,(100-300) zero age main sequence                  
1765999,4302,2197848844006893568,False,False,False,True,True,False,True,False,329.73199868080127,55.16713597328357,8.6431,,6.3921,0.3142752,,4.9926,0.18746931130143,2.188385,3.551365,,,,,1459.5017,,3.6503,60.1821233925845,7.204306995253752,293.0,,,1.3629799,0.45719364,99.94770883173928,,3.7864,,171.3667,3.1382716,-0.2044,,0.6501,,,,,0.1160647371205538,19.190636,17.00225,15.639271,3.1925712,-1.823639241436699,-2.620467710156819,1.1647552,,4.717654,3.6318,,,CSTAR,,,9759.907,,,,,M5V,B9V,subgiants,(100-300) zero age main sequence                  
1778203,16506,2197967659983413504,False,False,False,False,True,False,True,True,332.2710611364716,56.23208658129434,,,,,,,0.1944822846882345,2.0616093,3.3891678,,,,,,,,59.94818115927694,10.747854287884,0.0,,,1.3275585,,101.73117383575432,,,,,,,,,,,,,0.1488526937443559,16.752924,14.691315,13.363756,2.164366,-1.6463830622256237,-1.4049566939591804,,-113.24998,,,,,CSTAR,,,,,,,,M5V,O3V,null,NA                                                
